姓名,住址,出生日期,国籍,民族,性别,婚姻状态,收入,工作单位,职业
毛致远,河北省廊坊市霸州市胜芳镇尚堡村,23/3/2000,日本,朝鲜族,男,已婚,61076,宇宁有限责任公司,白领
张云熙,福建省欢市清浦六盘水街U座,9/9/1986,美国,白族,男,单身,5576,子异电脑有限责任公司,个体
姚安琪,西藏自治区琳县清河阜新街,10/4/1979,日本,朝鲜族,女,单身,29875,嘉伦技术有限责任公司,白领
吕詩涵,江苏省利县永川西宁街5122号,19/1/1971,中国,汉族,女,已婚,10059,杰宏工程有限责任公司,工人
韩宇宁,宁夏回族自治区固原市泾源县新民乡马河滩村,9/8/1963,中国香港,回族,男,离异,15000,向有限责任公司,教师
魏致远,广东省成都县华龙拉萨街,1/12/1985,韩国,高山族,男,已婚,56031,向記工业有限责任公司,收银员
谭致远,山东省武汉市华龙崔街7905号,18/1/1993,日本,朝鲜族,男,已婚,67539,侯記有限责任公司,白领
郭晓明,宁夏回族自治区红县城北阜新街,31/12/1996,中国台湾,壮族,男,单身,39667,梁記贸易有限责任公司,科研人员
董睿,辽宁省林市兴山王路1503号,4/6/1988,日本,朝鲜族,男,已婚,12009,林工程有限责任公司,白领
谢安琪,山西省丽丽县平山天津路,28/7/1993,中国台湾,壮族,女,已婚,45990,段电脑有限责任公司,科研人员
刘岚,辽宁省军县浔阳李街8474号,7/7/1972,中国香港,回族,女,离异,7474,宇宁玩具有限责任公司,教师
周宇宁,辽宁省强县南湖张路V座,22/3/1974,日本,朝鲜族,男,单身,15000,詩涵制药有限责任公司,白领
李震南,贵州省汕尾县萧山西宁街3863号,21/11/1961,美国,白族,男,已婚,26884,岚贸易有限责任公司,个体
赵杰宏,西藏自治区佛山县崇文陈路,14/7/1977,美国,白族,男,单身,14367,龚記有限责任公司,个体
卢致远,四川省六盘水市淄川刘街z座,25/3/1988,日本,朝鲜族,男,分居,50130,璐有限责任公司,白领
林子韬,海南省成都市闵行刘路915号,2/2/1988,中国台湾,壮族,男,单身,46305,秀英电讯有限责任公司,科研人员
熊子异,吉林省红梅县房山海门路,25/2/1964,韩国,高山族,男,单身,45684,待业,收银员
刘云熙,安徽亳州市涡阳县店集镇程小集村,15/3/1988,韩国,高山族,男,已婚,48970,韩电子有限责任公司,收银员
范安琪,浙江省乌鲁木齐县西夏顾街,6/6/1987,中国香港,回族,女,单身,49774,冯記电脑有限责任公司,教师
蒋秀英,云南省燕县合川淮安街8275号,27/3/2000,菲律宾,苗族,女,已婚,33771,子韬有限责任公司,服务员
傅震南,黑龙江齐齐哈尔市碾子山区碾子山区（镇）直辖地域龙华村,9/3/1976,中国香港,回族,男,丧偶,16948,安琪有限责任公司,教师
赵璐,四川省兰州县西夏兴城街2820号,16/8/1990,中国香港,回族,女,已婚,17864,宇宁工程有限责任公司,教师
王秀英,湖南省琳市静安惠州街R座,18/8/1993,韩国,高山族,女,丧偶,60162,致远有限责任公司,收银员
陆安琪,贵州省建市沈河李路r座,13/4/1987,泰国,土家族,女,单身,7127,孙記顾问有限责任公司,学生
傅晓明,辽宁锦州市义县刘龙台镇河南村,23/6/1994,美国,白族,男,单身,45130,待业,个体
贺嘉伦,河南省柳县普陀覃路,14/9/1981,中国,汉族,男,丧偶,19489,安琪物业代理有限责任公司,工人
黄子异,甘肃省兰英县城北廖街,11/3/1970,泰国,土家族,男,已婚,19527,邓記有限责任公司,学生
于震南,辽宁省成市双滦台北路e座,12/6/1981,日本,朝鲜族,男,已婚,16898,戴贸易有限责任公司,白领
韩詩涵,山西省丽丽县魏都刘路8097号,7/5/1989,中国,汉族,女,单身,9199,李記有限责任公司,工人
董子韬,湖北黄冈市武穴市石佛寺镇董官房村,6/9/1995,中国香港,回族,男,单身,24264,杰宏有限责任公司,教师
王岚,广东省贵阳县高坪徐街52号,29/8/1979,中国台湾,壮族,女,已婚,54881,马电脑有限责任公司,科研人员
丁杰宏,西藏自治区张家港县普陀许路,4/7/1996,中国香港,回族,男,已婚,25746,睿顾问有限责任公司,教师
刘秀英,四川省广元市剑阁县江口镇金钟村,27/9/1998,中国,汉族,女,单身,8481,秀英有限责任公司,工人
陆安琪,青海省太原市蓟州南宁街,14/4/1964,美国,白族,女,单身,63536,苏記系统有限责任公司,个体
雷宇宁,湖南省荣市白云辽阳街6569号,17/3/1976,菲律宾,苗族,男,离异,44041,震南有限责任公司,服务员
丁子异,江西省秀梅县山亭闻路,17/10/1992,泰国,土家族,男,单身,30938,震南电讯有限责任公司,学生
石安琪,云南省文县金平淮安路B座,13/7/1986,韩国,高山族,女,单身,61328,汤食品有限责任公司,收银员
钱嘉伦,甘肃省敏市璧山台北街322号,28/4/1994,日本,朝鲜族,男,已婚,43928,睿电子有限责任公司,白领
黎岚,广西壮族自治区建华市梁平刘街A座,16/7/1965,泰国,土家族,女,单身,64591,子异通讯有限责任公司,学生
邱宇宁,陕西宝鸡市金台区蟠龙镇坡头村,18/3/1970,日本,朝鲜族,男,离异,5308,待业,白领
姜子韬,青海省海门市沙湾姚路906号,27/12/1969,美国,白族,男,已婚,13859,蒋記有限责任公司,个体
郑詩涵,福建省利县海陵丁路,3/7/1988,日本,朝鲜族,女,单身,57661,戴記电脑有限责任公司,白领
胡安琪,青海省汕尾市华龙六安街,27/5/1985,美国,白族,女,单身,44555,秀英系统有限责任公司,个体
龙秀英,广东省佛山市三水区乐平镇华布村,24/11/1998,泰国,土家族,女,单身,13956,刘記工程有限责任公司,学生
韦杰宏,山西省晋城市阳城县演礼乡演礼工业园,1/8/1986,中国台湾,壮族,男,离异,8060,邹記工程有限责任公司,科研人员
方宇宁,安徽省荆门市西峰张路r座,14/3/1988,中国香港,回族,男,单身,39291,段記电子有限责任公司,教师
沈安琪,云南省玉溪市新平彝族傣族自治县戛洒镇青树社区,9/7/1960,泰国,土家族,女,单身,11493,尹有限责任公司,学生
丁睿,湖南省兰英市徐汇呼和浩特路,21/8/1994,中国,汉族,男,已婚,57894,致远通讯有限责任公司,工人
贾岚,内蒙古自治区建华县大东天津街,28/10/1989,菲律宾,苗族,女,已婚,40022,睿电子有限责任公司,服务员
尹嘉伦,北京市市辖区顺义区北务镇东地村,20/7/1966,菲律宾,苗族,男,单身,13774,子韬贸易有限责任公司,服务员
黎秀英,宁夏回族自治区嘉禾县西夏武汉街413号,23/8/1998,中国,汉族,女,单身,15000,睿电脑有限责任公司,工人
萧子韬,江苏省哈尔滨县兴山南昌路K座,14/9/1999,中国香港,回族,男,单身,30084,秀英通讯有限责任公司,教师
袁嘉伦,湖南省拉萨市淄川陈路s座,18/1/1989,中国香港,回族,男,已婚,15000,顾記物业代理有限责任公司,教师
郝安琪,辽宁省凯市浔阳孙路4932号,22/2/1983,泰国,土家族,女,已婚,35752,贺記有限责任公司,学生
贾璐,湖南省淑兰县高明张街s座,23/10/1972,泰国,土家族,女,已婚,17649,杰宏制药有限责任公司,学生
罗秀英,广东省兵县大东洪街F座,3/6/1988,菲律宾,苗族,女,单身,54111,璐有限责任公司,服务员
杨詩涵,陕西省东县涪城杭州街2430号,12/5/1988,中国,汉族,女,单身,55400,徐記有限责任公司,工人
崔晓明,吉林吉林市丰满区江南街道办事处玉华社区,23/9/1964,中国香港,回族,男,单身,15159,林記食品有限责任公司,教师
梁璐,湖南省福州市江北傅街558号,1/12/1978,中国,汉族,女,单身,32998,邹記贸易有限责任公司,工人
邵震南,内蒙古自治区秀荣市平山海门路,19/5/1960,韩国,高山族,男,单身,22822,卢贸易有限责任公司,收银员
董震南,重庆市凤英市合川福州路a座,30/7/1986,日本,朝鲜族,男,单身,33544,子异工程有限责任公司,白领
黎子韬,湖南省凤兰县海陵齐齐哈尔街O座,12/1/1994,菲律宾,苗族,男,丧偶,5358,云熙有限责任公司,服务员
侯杰宏,安徽省桂兰县兴山合肥街,7/12/1996,韩国,高山族,男,分居,22459,范記发展贸易有限责任公司,收银员
孙子异,贵州省贵阳县城北南京路Q座,25/4/1993,泰国,土家族,男,单身,42790,晓明有限责任公司,学生
曾璐,海南省嘉禾市山亭嘉禾街,25/6/1963,日本,朝鲜族,女,单身,40595,宇宁有限责任公司,白领
史秀英,宁夏回族自治区佛山县梁平马路x座,28/6/1981,中国,汉族,女,已婚,59573,范发展贸易有限责任公司,工人
严宇宁,吉林省伟市华龙张路,21/8/2000,日本,朝鲜族,男,已婚,67115,璐玩具有限责任公司,白领
马秀英,北京市市辖县密云县穆家峪镇前栗园社区,20/5/1981,日本,朝鲜族,女,丧偶,18598,子异玩具有限责任公司,白领
韦子韬,四川省银川市高坪徐路4192号,24/5/1975,韩国,高山族,男,丧偶,25221,嘉伦制药有限责任公司,收银员
余子异,四川省六盘水市海港成都路8698号,8/7/1999,中国,汉族,男,已婚,55455,刘記电讯有限责任公司,工人
张秀英,山西省合山市沙市叶路e座,6/12/1987,美国,白族,女,已婚,62654,薛有限责任公司,个体
林嘉伦,福建省宁德市福安市穆云畲族乡科后村,28/9/1964,美国,白族,男,丧偶,29644,震南工业有限责任公司,个体
莫致远,福建省丹市双滦嘉禾路4966号,19/12/1972,菲律宾,苗族,男,已婚,35292,罗記有限责任公司,服务员
雷子韬,内蒙古自治区南京县秀英刘街V座,9/4/1965,日本,朝鲜族,男,已婚,55862,子异有限责任公司,白领
蔡詩涵,广东省关岭市长寿天津路3797号,3/2/1967,菲律宾,苗族,女,离异,59903,宇宁发展贸易有限责任公司,服务员
董詩涵,贵州省倩市清城济南路1971号,25/11/1971,中国,汉族,女,丧偶,66385,睿通讯有限责任公司,工人
杨晓明,湖北省秀兰市门头沟李路h座,24/5/1989,中国台湾,壮族,男,已婚,20638,云熙玩具有限责任公司,科研人员
汤嘉伦,湖南株洲市醴陵市板杉乡长坡口村,9/3/1994,美国,白族,男,已婚,17397,马記玩具有限责任公司,个体
何安琪,江西省西安市江北长春路,9/3/1992,中国台湾,壮族,女,单身,62778,任有限责任公司,科研人员
侯宇宁,宁夏回族自治区红县海港杨街,11/8/1985,日本,朝鲜族,男,已婚,8825,睿系统有限责任公司,白领
董晓明,广东省艳市兴山宋街,23/6/1977,菲律宾,苗族,男,单身,15000,武記有限责任公司,服务员
林秀英,河南省辛集县双滦台北街v座,28/9/1990,中国香港,回族,女,已婚,23678,晓明有限责任公司,教师
邱子异,山西省哈尔滨县安次深圳街,14/11/1993,美国,白族,男,已婚,61189,熊电脑有限责任公司,个体
贾晓明,台湾省晶市丰都黄街3669号,9/3/1976,菲律宾,苗族,男,单身,24995,梁顾问有限责任公司,服务员
侯晓明,黑龙江省雪市清浦兰州路7705号,10/6/2000,美国,白族,男,单身,22275,史有限责任公司,个体
严晓明,湖北武汉市蔡甸区奓山街道办事处红焰村,26/7/1960,泰国,土家族,男,已婚,36039,孔記贸易有限责任公司,学生
朱安琪,浙江省瑞市南湖汕尾路,28/3/1984,日本,朝鲜族,女,单身,11247,龙記顾问有限责任公司,白领
冯秀英,西藏阿里地区措勤县措勤镇达东村,7/1/1969,韩国,高山族,女,已婚,22496,子异有限责任公司,收银员
蒋璐,广东省揭阳市惠来县东埔农场东埔村,3/8/1978,中国,汉族,女,已婚,40750,致远玩具有限责任公司,工人
顾云熙,内蒙古乌海市海南区巴音陶亥镇东兴村,8/11/1980,中国台湾,壮族,男,单身,38890,璐通讯有限责任公司,科研人员
曾宇宁,广东省齐齐哈尔市秀英郭路,15/4/1964,泰国,土家族,男,已婚,18452,刘电讯有限责任公司,学生
罗璐,重庆市广州县安次侯路N座,20/10/1968,中国香港,回族,女,单身,37912,秦物业代理有限责任公司,教师
赵嘉伦,台湾省乌鲁木齐县高港合肥街,11/11/1991,泰国,土家族,男,已婚,63719,许有限责任公司,学生
余嘉伦,上海市市辖区嘉定区安亭镇博泰社区,29/3/1969,日本,朝鲜族,男,已婚,28155,傅記工业有限责任公司,白领
贺子韬,宁夏回族自治区柳市高明济南路1507号,9/5/1997,中国,汉族,男,已婚,15000,睿有限责任公司,工人
薛杰宏,青海省永安市璧山武汉街4237号,5/12/1977,中国,汉族,男,已婚,20296,秀英有限责任公司,工人
郭晓明,内蒙古自治区乌海市乌达区五虎山街道办事处育红社区,16/5/1968,中国台湾,壮族,男,已婚,30251,晓明有限责任公司,科研人员
魏致远,江苏省盐城市响水县小尖镇何圩村,26/6/1979,菲律宾,苗族,男,单身,45888,孙物业代理有限责任公司,服务员
彭璐,福建省香港市翔安王街1142号,12/3/1961,日本,朝鲜族,女,已婚,60620,宇宁玩具有限责任公司,白领
孟宇宁,河南三门峡市陕县菜园乡赵原村,24/12/1986,美国,白族,男,已婚,49836,余記有限责任公司,个体
侯子韬,江苏省辛集县沈河北京路E座,14/10/1987,中国台湾,壮族,男,已婚,49957,嘉伦技术有限责任公司,科研人员
胡璐,江西省哈尔滨市沈北新赖路j座,27/3/1968,韩国,高山族,女,已婚,53144,震南有限责任公司,收银员
谢子韬,内蒙古自治区斌县新城潜江路8336号,26/3/1970,泰国,土家族,男,已婚,31286,蒋有限责任公司,学生
熊璐,浙江省秀英县大东杜街,25/4/1968,韩国,高山族,女,单身,15007,杰宏顾问有限责任公司,收银员
贺云熙,福建省琳县清河合山街T座,13/2/1974,日本,朝鲜族,男,丧偶,50801,睿食品有限责任公司,白领
邓安琪,广东省梅州市兴宁市石马镇三联村,1/7/1962,日本,朝鲜族,女,已婚,15000,岚电讯有限责任公司,白领
熊璐,宁夏回族自治区大冶县房山王街,30/3/1966,中国,汉族,女,单身,22655,震南发展贸易有限责任公司,工人
韩安琪,广西壮族自治区永安县大东张街y座,9/7/1999,美国,白族,女,分居,40138,韦記通讯有限责任公司,个体
韦晓明,陕西省洋县魏都武街,2/11/1998,美国,白族,男,已婚,11444,丁記有限责任公司,个体
李睿,安徽铜陵市铜陵县西联乡汀洲村,8/3/1961,中国,汉族,男,已婚,62887,武技术有限责任公司,工人
阎秀英,香港特别行政区晶县高坪郭街6043号,10/2/1980,美国,白族,女,分居,35889,秀英制药有限责任公司,个体
沈秀英,海南省三沙市南沙群岛永暑岛永暑岛虚拟社区,15/10/1981,泰国,土家族,女,已婚,5210,詩涵技术有限责任公司,学生
常睿,云南省俊县丰都李路,22/3/1967,韩国,高山族,男,单身,56603,顾記制药有限责任公司,收银员
王子异,青海省海南藏族自治州同德县尕巴松多镇北巴滩社区,30/3/1990,美国,白族,男,单身,25610,卢記技术有限责任公司,个体
蒋詩涵,贵州省铜仁市江口县桃映镇万沟村,25/3/1999,中国,汉族,女,已婚,30548,子韬贸易有限责任公司,工人
魏安琪,河北省南昌市萧山柳州路,24/5/1966,中国香港,回族,女,单身,35211,睿物业代理有限责任公司,教师
薛子韬,山东省北京市永川宜都街E座,1/4/1987,中国香港,回族,男,已婚,58236,钟記食品有限责任公司,教师
卢秀英,北京市市辖县延庆县延庆镇祁家堡村,10/4/1973,日本,朝鲜族,女,分居,45143,璐有限责任公司,白领
陆云熙,天津市玉市魏都冯街,29/8/1976,韩国,高山族,男,单身,34222,致远有限责任公司,收银员
罗岚,山西省东莞市清城苏路t座,8/10/1967,日本,朝鲜族,女,已婚,66330,汪記贸易有限责任公司,白领
唐子韬,宁夏回族自治区兰州市淄川雷街t座,20/5/1997,美国,白族,男,丧偶,64185,致远贸易有限责任公司,个体
夏嘉伦,新疆维吾尔自治区海燕县江北梧州路6741号,7/6/1964,中国台湾,壮族,男,已婚,34519,杰宏顾问有限责任公司,科研人员
陶子韬,黑龙江省台北市龙潭潜江街,9/6/1999,菲律宾,苗族,男,单身,36804,嘉伦有限责任公司,服务员
莫睿,广西壮族自治区浩县和平宁德街4380号,13/10/1983,美国,白族,男,已婚,20695,睿发展贸易有限责任公司,个体
许宇宁,澳门特别行政区嘉禾市高明北京街,14/10/1997,中国香港,回族,男,单身,35116,丁发展贸易有限责任公司,教师
任睿,河北省秦皇岛市北戴河区海滨镇赤土山村,24/10/1966,菲律宾,苗族,男,单身,23349,杰宏有限责任公司,服务员
邱嘉伦,河北唐山市开平区郑庄子镇郑庄子村,21/4/2000,韩国,高山族,男,单身,41842,杨記发展贸易有限责任公司,收银员
戴詩涵,浙江省金华市金东区塘雅镇施塘头村,8/11/1983,菲律宾,苗族,女,分居,42883,待业,服务员
黄致远,湖南省福州市崇文银川路,27/10/1975,日本,朝鲜族,男,已婚,54112,子韬有限责任公司,白领
黎璐,内蒙古自治区佛山市徐汇耿路7528号,9/7/1984,日本,朝鲜族,女,已婚,28172,秀英工业有限责任公司,白领
钱嘉伦,天津市楠市友好许路p座,29/4/1986,美国,白族,男,单身,60650,崔記有限责任公司,个体
雷晓明,宁夏中卫市沙坡头区柔远镇柔远村,19/9/1973,韩国,高山族,男,已婚,23925,子韬制药有限责任公司,收银员
叶子异,山西省建平县白云拉萨路r座,1/7/1978,菲律宾,苗族,男,分居,24050,彭記通讯有限责任公司,服务员
谭睿,重庆市丽市秀英杭州路,29/8/1971,中国,汉族,男,单身,56067,璐工程有限责任公司,工人
贾致远,西藏自治区山南地区隆子县扎日乡庄那村,2/5/1968,中国香港,回族,男,单身,68983,云熙发展贸易有限责任公司,教师
孟璐,福建省芳县朝阳沈阳路,12/1/1966,美国,白族,女,单身,64630,薛記工程有限责任公司,个体
薛杰宏,台湾省婷婷市清浦王路8254号,16/1/1966,美国,白族,男,已婚,34811,璐物业代理有限责任公司,个体
吴璐,湖北省昆明市山亭周街,22/12/1975,韩国,高山族,女,单身,24904,璐电讯有限责任公司,收银员
余詩涵,内蒙古自治区汕尾县长寿刘路,17/5/1977,泰国,土家族,女,单身,8930,岚电脑有限责任公司,学生
魏嘉伦,甘肃省建华市江北姚路5791号,26/9/1967,韩国,高山族,男,已婚,45241,范記电子有限责任公司,收银员
谭云熙,贵州省燕市高坪上海街9508号,31/12/1980,泰国,土家族,男,已婚,24081,马記顾问有限责任公司,学生
蒋安琪,上海市旭县高明南宁路,8/6/1997,美国,白族,女,单身,12409,任制药有限责任公司,个体
郝致远,河南南阳市宛城区新店乡彭营村,3/5/1989,韩国,高山族,男,单身,59387,致远技术有限责任公司,收银员
赵致远,广东省桂芳县浔阳北京街,9/6/1970,日本,朝鲜族,男,单身,15000,子异工程有限责任公司,白领
汪詩涵,香港特别行政区建国市高坪巢湖街166号,14/11/1976,中国,汉族,女,已婚,21698,胡电脑有限责任公司,工人
何致远,北京市武汉市和平香港路,22/6/1996,菲律宾,苗族,男,离异,25717,方物业代理有限责任公司,服务员
苏秀英,澳门特别行政区英县蓟州柳州街,1/9/1994,菲律宾,苗族,女,单身,27157,杰宏有限责任公司,服务员
罗杰宏,内蒙古自治区坤市沈北新赵路e座,5/6/1963,中国香港,回族,男,单身,60535,崔顾问有限责任公司,教师
秦致远,西藏自治区山南地区洛扎县色乡曲吉麦村,23/1/1988,中国台湾,壮族,男,单身,15000,震南有限责任公司,科研人员
许子异,湖北省玉英市魏都南京路5877号,21/10/1960,中国,汉族,男,已婚,54007,陆記有限责任公司,工人
田子韬,青海省柳州市崇文合肥街V座,2/12/1997,美国,白族,男,单身,51682,董記有限责任公司,个体
向宇宁,福建省北京县高港胡路3301号,1/10/1981,中国,汉族,男,单身,61862,云熙物业代理有限责任公司,工人
卢璐,宁夏回族自治区中卫市沙坡头区宣和镇宣和村,19/6/1971,菲律宾,苗族,女,单身,59961,子异顾问有限责任公司,服务员
于嘉伦,四川省文市江北深圳街1309号,19/1/1992,韩国,高山族,男,单身,68097,安琪有限责任公司,收银员
王杰宏,澳门特别行政区雷县沙市东莞街,28/1/1962,中国,汉族,男,已婚,38028,待业,工人
毛子韬,广东省太原县长寿侯街9708号,7/9/1983,中国台湾,壮族,男,单身,15000,待业,科研人员
孟嘉伦,山西省涛县南湖李路772号,25/10/1981,韩国,高山族,男,已婚,15000,毛記有限责任公司,收银员
徐岚,山西省东县六枝特白路,14/7/1974,日本,朝鲜族,女,单身,39353,邵玩具有限责任公司,白领
周杰宏,四川成都市邛崃市卧龙镇绵山村,26/9/1981,美国,白族,男,单身,27613,秦通讯有限责任公司,个体
丁嘉伦,天津市市辖区河东区中山门街道试验楼社区,11/9/1988,韩国,高山族,男,已婚,54476,郭发展贸易有限责任公司,收银员
雷震南,安徽铜陵市铜陵县五松镇城东村,15/5/1968,中国,汉族,男,单身,67516,璐有限责任公司,工人
邵致远,河南省澳门市城北石家庄路c座,15/10/1980,菲律宾,苗族,男,已婚,28540,任有限责任公司,服务员
丁睿,重庆市合山县魏都侯街,1/3/1979,菲律宾,苗族,男,已婚,38973,子韬物业代理有限责任公司,服务员
韦宇宁,内蒙古自治区淑珍县双滦董街,10/11/1985,中国香港,回族,男,单身,11364,致远玩具有限责任公司,教师
钱璐,安徽省安庆市望江县凉泉乡壬辰占村,25/4/1960,中国香港,回族,女,单身,18855,岚有限责任公司,教师
陈安琪,云南省雷市翔安深圳路8585号,6/4/1999,泰国,土家族,女,已婚,52853,汪記发展贸易有限责任公司,学生
方子异,山东省烟台市牟平区水道镇后刘家夼村,26/1/1963,美国,白族,男,已婚,15218,方記贸易有限责任公司,个体
严子韬,贵州省秀云县蓟州周路699号,22/1/1967,韩国,高山族,男,已婚,15000,夏有限责任公司,收银员
侯岚,河北省秀荣市永川福州路U座,4/5/1979,中国,汉族,女,已婚,66327,致远电脑有限责任公司,工人
魏宇宁,新疆维吾尔自治区昌吉回族自治州阜康市上户沟哈萨克民族乡白杨河中心村,2/5/1973,中国台湾,壮族,男,已婚,15000,詩涵有限责任公司,科研人员
钟云熙,浙江省惠州市安次张路4094号,14/5/1995,中国,汉族,男,单身,26494,岚电讯有限责任公司,工人
李杰宏,湖南省哈尔滨县安次潜江街a座,4/1/1962,中国,汉族,男,分居,47476,璐有限责任公司,工人
夏晓明,山西省阳泉市盂县牛村镇石圪塘村,19/9/1970,中国台湾,壮族,男,已婚,15000,方有限责任公司,科研人员
龚震南,安徽省刚市梁平高路i座,8/2/1972,中国香港,回族,男,单身,31700,戴記工程有限责任公司,教师
李晓明,辽宁省莹市清浦呼和浩特路,2/11/1988,菲律宾,苗族,男,丧偶,28062,任发展贸易有限责任公司,服务员
邹致远,宁夏回族自治区秀兰市清浦傅街3119号,28/10/1990,韩国,高山族,男,单身,63331,待业,收银员
段秀英,四川省峰市龙潭西宁路,20/7/1977,中国香港,回族,女,已婚,57359,宇宁有限责任公司,教师
莫詩涵,澳门特别行政区宇县滨城乌鲁木齐路r座,19/6/1965,中国香港,回族,女,单身,51670,向記工程有限责任公司,教师
侯子韬,安徽省铜陵市狮子山区西湖镇朝山村,2/8/1989,中国香港,回族,男,单身,15000,姜記有限责任公司,教师
任睿,北京市哈尔滨市和平太原街,6/9/1979,韩国,高山族,男,单身,14162,宇宁有限责任公司,收银员
贺安琪,湖南省宜都市南溪林街,23/6/1966,美国,白族,女,单身,53279,钱有限责任公司,个体
汪杰宏,云南省阳县浔阳陈街9043号,11/2/1963,中国,汉族,男,已婚,34197,魏記有限责任公司,工人
侯睿,广东惠州市惠东县高潭镇金坑村,29/7/1993,中国香港,回族,男,丧偶,62560,云熙有限责任公司,教师
秦子异,江苏省无锡市崇安区广瑞路街道广瑞二村社区,4/12/1991,中国香港,回族,男,单身,24469,云熙电脑有限责任公司,教师
贾震南,重庆市惠州市平山贵阳路,26/7/1987,日本,朝鲜族,男,已婚,65748,詩涵顾问有限责任公司,白领
方秀英,福建省静县沈北新澳门路1359号,12/2/2000,美国,白族,女,单身,5389,马記有限责任公司,个体
尹杰宏,陕西省宝鸡市麟游县崔木镇北王村,25/10/1969,日本,朝鲜族,男,单身,7004,丁記技术有限责任公司,白领
史詩涵,上海市市辖区嘉定区安亭镇博泰社区,30/5/1987,中国台湾,壮族,女,已婚,23607,睿顾问有限责任公司,科研人员
于晓明,澳门特别行政区成都县丰都郑州街,21/10/1970,泰国,土家族,男,已婚,50798,詩涵制药有限责任公司,学生
武晓明,天津市郑州市长寿徐路,26/6/1991,中国,汉族,男,单身,36324,嘉伦物业代理有限责任公司,工人
石子韬,北京市辖县延庆县千家店镇牤牛沟村,6/2/1967,中国台湾,壮族,男,单身,46288,程有限责任公司,科研人员
薛岚,广西壮族自治区钦州市钦南区尖山镇九鸦村,9/2/1977,美国,白族,女,已婚,65911,萧有限责任公司,个体
曹秀英,云南省建华市江北太原路8113号,25/8/1983,中国台湾,壮族,女,单身,22355,秀英电脑有限责任公司,科研人员
高子异,浙江省旭县怀柔南昌街U座,9/3/1960,韩国,高山族,男,离异,67604,金記有限责任公司,收银员
龚岚,广西壮族自治区建市海陵邯郸路J座,20/4/1962,韩国,高山族,女,已婚,57657,待业,收银员
赵岚,海南省阜新市六枝特石家庄路1303号,14/4/1989,中国台湾,壮族,女,单身,30407,孟記有限责任公司,科研人员
侯子异,福建省兵县西峰北京街,24/5/1974,日本,朝鲜族,男,已婚,30092,子异顾问有限责任公司,白领
方璐,青海省海西蒙古族藏族自治州天峻县新源镇日许尔牧委会,25/5/1985,中国台湾,壮族,女,已婚,45023,待业,科研人员
邹秀英,湖北省郑州市清城林街o座,10/10/1982,美国,白族,女,单身,5367,董有限责任公司,个体
刘秀英,陕西省阳县和平合肥街7063号,7/9/1967,中国台湾,壮族,女,单身,45231,韦記有限责任公司,科研人员
孟岚,山东省西安县萧山兴安盟街6501号,7/4/1980,菲律宾,苗族,女,单身,20241,谢記玩具有限责任公司,服务员
田晓明,湖南省娄底市涟源市桥头河镇新长村,23/7/1985,中国台湾,壮族,男,丧偶,55633,姜玩具有限责任公司,科研人员
熊安琪,上海市凤兰县东城宋路232号,24/6/1973,中国,汉族,女,单身,8226,谭記物业代理有限责任公司,工人
魏致远,湖北省咸宁市通城县隽水镇桃源村,18/1/1987,中国台湾,壮族,男,已婚,15000,马贸易有限责任公司,科研人员
向致远,广西壮族自治区北海市合浦县山口镇山口村,27/7/1976,中国,汉族,男,单身,21653,范記技术有限责任公司,工人
姚宇宁,河北省邢台市沙河市白塔镇樊下曹村,31/5/1982,菲律宾,苗族,男,单身,46172,戴記食品有限责任公司,服务员
唐嘉伦,黑龙江省桂芝县山亭上海路6192号,13/5/1961,菲律宾,苗族,男,已婚,15000,戴有限责任公司,服务员
史晓明,云南省武汉市西夏梧州路2017号,2/7/1962,菲律宾,苗族,男,已婚,69630,常記通讯有限责任公司,服务员
苏安琪,西藏日喀则地区吉隆县宗嘎镇贡普村,4/8/1985,中国香港,回族,女,已婚,66750,莫記物业代理有限责任公司,教师
王宇宁,浙江省柳州市徐汇成都街1631号,9/1/1991,美国,白族,男,已婚,42955,秀英工业有限责任公司,个体
张宇宁,内蒙古自治区哈尔滨市浔阳李街,21/10/1987,美国,白族,男,单身,62346,邵贸易有限责任公司,个体
熊致远,吉林省海门市萧山西安街e座,10/10/1991,美国,白族,男,离异,16651,曾工业有限责任公司,个体
孙杰宏,河南省西安市静安哈尔滨街,27/8/1973,中国台湾,壮族,男,丧偶,58511,杜記有限责任公司,科研人员
吕云熙,四川阿坝藏族羌族自治州阿坝县柯河乡伊俄村,14/11/1967,日本,朝鲜族,男,丧偶,59860,许記有限责任公司,白领
黄云熙,辽宁省广州县沙湾吴街F座,5/12/1990,美国,白族,男,单身,44153,震南有限责任公司,个体
曹岚,福建省南宁县龙潭刘街K座,29/10/1968,美国,白族,女,单身,15000,董通讯有限责任公司,个体
段璐,浙江省涛县高明宜都街,24/6/1992,日本,朝鲜族,女,已婚,7279,贾記顾问有限责任公司,白领
卢嘉伦,天津市雪县六枝特乌鲁木齐路8104号,30/4/1974,菲律宾,苗族,男,已婚,13792,璐玩具有限责任公司,服务员
郭子异,上海市丽娟县金平田街99号,15/4/1984,中国,汉族,男,已婚,24332,璐有限责任公司,工人
田秀英,吉林省梧州县六枝特盛街603号,17/12/1983,美国,白族,女,已婚,5662,晓明物业代理有限责任公司,个体
姚晓明,台湾省西宁县清城太原路1505号,8/11/1983,美国,白族,男,单身,69066,杜記食品有限责任公司,个体
